GRBname,Trig_ID,T90,T90_err,redshift,z_err,conversion
GRB170208B,737463.0,128.136,5.718968,,,3.52e-11
GRB170208A,737438.0,7.448,0.5432937,,,4.07e-11
GRB170206B,737125.0,13.36,2.677025,,,3.1399999999999996e-11
GRB170205A,736843.0,26.128,3.183611,,,4.0899999999999996e-11
GRB170203A,736432.0,45.904,5.961554,,,
GRB170202A,736407.0,37.76,11.71811,3.645,,3.21e-11
GRB170131A,736107.0,,,,,
GRB170127B,735331.0,0.512,0.1448862,,,4.0199999999999994e-11
GRB170127A,735326.0,67.376,12.0329,,,4.54e-11
GRB170126A,735188.0,9.536,1.580683,,,4.3799999999999994e-11
GRB170115A,733103.0,32.044,9.16922,,,2.93e-11
GRB170113A,732526.0,20.296,4.332635,1.968,,3.8999999999999995e-11
GRB170112A,732188.0,0.05599993,0.01788858,,,
GRB170111A,731887.0,29.876,9.71117,,,4.58e-11
GRB170101A,729293.0,3.104,0.848,,,
GRB161224A,728268.0,47.376,11.5829,,,
GRB161220A,727610.0,7.22,1.754254,,,2.1800000000000002e-11
GRB161219B,727541.0,6.932,0.7931809,0.1475,,3.8499999999999996e-11
GRB161218A,727288.0,7.2,0.5458938,,,
GRB161217A,727167.0,12.036,2.449433,,,3.45e-11
GRB161214B,726885.0,24.896,3.182645,<1.5,,3.2999999999999996e-11
GRB161202A,725036.0,118.496,0.7124746,,,3.68e-11
GRB161129A,724438.0,35.544,2.095133,,,4.28e-11
GRB161117B,722642.0,152.312,3.153553,,,4.2599999999999994e-11
GRB161117A,722604.0,125.7,1.093376,1.549,,3.4599999999999996e-11
GRB161113A,722063.0,43.464,5.282643,,,3.27e-11
GRB161108A,721234.0,115.836,11.66004,0.50,+0.12-0.12,3.49e-11
GRB161105A,720697.0,177.696,25.07348,,,4.2099999999999995e-11
GRB161104A,720568.0,0.09999996,0.01788853,0.788,,5.5999999999999994e-11
GRB161022A,718655.0,7.248,1.06949,,,3.79e-11
